item_id,snapshot_date,item_name,category,criticality_level,supplier_id,supplier_name,current_on_hand,safety_stock,reorder_point,moq,holding_cost,stockout_penalty,avg_lead_time_days,reliability_score,variability_index,avg_daily_demand,demand_std_dev,total_recent_demand,demand_variability_class,open_sales_order_qty,open_purchase_order_qty,next_po_arrival_date,days_until_next_po_arrival,net_available_inventory,days_of_supply,lead_time_demand,lead_time_class,supplier_reliability_class,stockout_risk_class,stockout_risk_probability,forecast_demand_next_period,feature_notes
81,2026-03-08,415-16S,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,46082,1000,1046,500,1.5,20.0,120.0,1.0,10.0,52.148936170212764,55.719570320645204,7353.0,high,4410.0,518243.0,,,559915.0,10736.844145246838,6257.872340425532,long,high,Low,0.0,1564.468085106383,Inventory position currently adequate relative to projected demand and replenishment window.
183,2026-03-08,1304-14,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,870,1000,1001,500,1.5,25.0,120.0,1.0,10.0,1.8777777777777778,8.327331171776732,169.0,high,2220.0,67927.0,,,66577.0,35455.20710059172,225.33333333333334,long,high,Low,0.0,56.333333333333336,Inventory position currently adequate relative to projected demand and replenishment window.
186,2026-03-08,1815-18,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,629,1000,1001,500,1.5,22.0,120.0,1.0,10.0,3.9655172413793105,10.946241229039993,115.0,high,1147.0,54102.0,,,53584.0,13512.486956521738,475.86206896551727,long,high,Low,0.0,118.96551724137932,Inventory position currently adequate relative to projected demand and replenishment window.
306,2026-03-08,GS70015,Chipper Shredder,high,4231,Cixi City Best Power Tools Co Ltd (Gbest),728,1000,1001,500,1.75,8.0,120.0,1.0,10.0,3.9485714285714284,24.2542255049302,691.0,high,205.0,83314.0,,,83837.0,21232.23589001447,473.8285714285714,long,high,Low,0.0,118.45714285714286,Inventory position currently adequate relative to projected demand and replenishment window.
337,2026-03-08,SN70016,Snow Thrower,high,1977,"Cixi Huazhijie Plastic Product Co., Ltd",11,1000,1000,500,1.62,8.0,120.0,1.0,10.0,18.584415584415584,90.12934428530309,1431.0,high,10.0,75741.0,,,75742.0,4075.5653389238296,2230.12987012987,long,high,Low,1.8911829826331695e-53,557.5324675324675,Inventory position currently adequate relative to projected demand and replenishment window.
349,2026-03-08,204-14,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,0,1000,1000,500,1.5,8.0,120.0,1.0,10.0,94.25,143.14648674231117,377.0,high,985.0,42724.0,,,41739.0,442.85411140583557,11310.0,long,high,Low,0.0022874890887519274,2827.5,Inventory position currently adequate relative to projected demand and replenishment window.
350,2026-03-08,1204-14,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,4851,1000,1005,500,1.5,8.0,120.0,1.0,10.0,134.125,339.78099856249605,8584.0,high,2721.0,281325.0,,,283455.0,2113.36439888164,16095.0,long,high,Low,5.6838123664192915e-59,4023.75,Inventory position currently adequate relative to projected demand and replenishment window.
352,2026-03-08,304-14S,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,4173,1000,1004,500,1.5,8.0,120.0,1.0,10.0,4.230769230769231,9.468081238256117,495.0,high,693.0,98956.0,,,102436.0,24212.145454545454,507.6923076923077,long,high,Low,0.0,126.92307692307692,Inventory position currently adequate relative to projected demand and replenishment window.
354,2026-03-08,815-18,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,1347,1000,1001,500,1.5,8.0,120.0,1.0,10.0,2.5555555555555554,3.0417963857768737,115.0,high,1992.0,55842.0,,,55197.0,21598.826086956524,306.66666666666663,long,high,Low,0.0,76.66666666666666,Inventory position currently adequate relative to projected demand and replenishment window.
355,2026-03-08,815-18S,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,415,1000,1000,500,1.5,10.0,120.0,1.0,10.0,1.5,0.7071067811865476,3.0,low,53.0,5495.0,,,5857.0,3904.6666666666665,180.0,long,high,Low,6.415229294481557e-47,45.0,Inventory position currently adequate relative to projected demand and replenishment window.
357,2026-03-08,415-16,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,1230,1000,1001,500,1.5,15.0,120.0,1.0,10.0,8.551020408163266,19.98130503797007,419.0,high,604.0,51181.0,,,51807.0,6058.575178997613,1026.122448979592,long,high,Low,1.258548363782288e-110,256.530612244898,Inventory position currently adequate relative to projected demand and replenishment window.
358,2026-03-08,1415-16,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,113,1000,1000,500,1.5,30.0,120.0,1.0,10.0,1.0,0.0,28.0,low,976.0,27267.0,,,26404.0,26404.0,120.0,long,high,Low,0.0,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
361,2026-03-08,2000-20S,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,1829,1000,1002,500,1.5,0.0,120.0,1.0,10.0,30.7,55.45420111274376,614.0,high,899.0,52916.0,,,53846.0,1753.9413680781759,3684.0,long,high,Low,9.687831833883266e-13,921.0,Inventory position currently adequate relative to projected demand and replenishment window.
363,2026-03-08,1304-14LV,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,0,1000,1000,500,1.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,5620.0,,,5620.0,999.0,0.0,long,high,Low,3.7866771655000944e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
364,2026-03-08,1314-14EW,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,442,1000,1000,500,1.5,0.0,120.0,1.0,10.0,194.5,197.34473503097175,1945.0,high,1.0,23442.0,,,23883.0,122.7917737789203,23340.0,long,high,Low,0.2655037654468029,5835.0,Inventory position currently adequate relative to projected demand and replenishment window.
366,2026-03-08,1816-16EW,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,430,1000,1000,500,1.5,0.0,120.0,1.0,10.0,3.3333333333333335,1.5275252316519468,10.0,low,18.0,302775.0,,,303187.0,90956.09999999999,400.0,long,high,Low,0.0,100.0,Inventory position currently adequate relative to projected demand and replenishment window.
367,2026-03-08,1816-18EW,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,287,1000,1000,500,1.5,0.0,120.0,1.0,10.0,1.0,0.0,1.0,low,3.0,2690.0,,,2974.0,2974.0,120.0,long,high,Low,2.214806081546582e-28,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
369,2026-03-08,2000-20LV,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,0,1000,1000,500,1.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,4600.0,,,4600.0,999.0,0.0,long,high,Low,3.7141671168594573e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
371,2026-03-08,2001-20EW,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,274,1000,1000,500,1.5,0.0,120.0,1.0,10.0,1.0,0.0,4.0,low,0.0,2333.0,,,2607.0,2607.0,120.0,long,high,Low,1.7058724362478057e-22,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
372,2026-03-08,2002-20EW,Reel Mower,low,1039,Zhejiang Saige Garden Machinery Co,0,500,500,500,1.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,17538.0,,,17538.0,999.0,0.0,long,high,Low,3.7831683769649837e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
373,2026-03-08,2010-20SG,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,6191,1000,1006,500,1.5,0.0,120.0,1.0,10.0,25.90909090909091,19.08116634514015,285.0,med,330.0,92273.0,,,98134.0,3787.6280701754386,3109.090909090909,long,high,Low,4.611964942170003e-54,777.2727272727273,Inventory position currently adequate relative to projected demand and replenishment window.
389,2026-03-08,CVPS43010,Pole Saw,high,44830,"Shenzhen Lidewei Supply Chain Co., Ltd",1116,1000,1001,500,1.12,0.0,120.0,1.0,10.0,76.8,169.49395269448405,384.0,high,5.0,45293.0,,,46404.0,604.21875,9216.0,long,high,Low,3.66057821948842e-05,2304.0,Inventory position currently adequate relative to projected demand and replenishment window.
392,2026-03-08,SN74016,Snow Thrower,high,1977,"Cixi Huazhijie Plastic Product Co., Ltd",182,1000,1000,500,1.62,0.0,120.0,1.0,10.0,1.0212765957446808,0.29121135150475996,576.0,low,319.0,40834.0,,,40697.0,39849.145833333336,122.5531914893617,long,high,Low,0.0,30.638297872340424,Inventory position currently adequate relative to projected demand and replenishment window.
393,2026-03-08,SN74018,Snow Thrower,high,1977,"Cixi Huazhijie Plastic Product Co., Ltd",0,1000,1000,500,1.62,0.0,120.0,1.0,10.0,8.317073170731707,46.6923114786526,341.0,high,0.0,10341.0,,,10341.0,1243.3460410557186,998.0487804878048,long,high,Low,1.4102759531055536e-07,249.5121951219512,Inventory position currently adequate relative to projected demand and replenishment window.
396,2026-03-08,TC70016,Tiller/Cultivator,high,4279,Ningbo Joyo Garden Tools Co Ltd,0,1000,1000,500,1.75,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,56418.0,,,56418.0,999.0,0.0,long,high,Low,2.0640092424370322e-07,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
400,2026-03-08,415-16SK,Reel Mower,med,1039,Zhejiang Saige Garden Machinery Co,364,250,251,500,1.5,0.0,120.0,1.0,10.0,4.6,3.9115214431215892,23.0,med,82.0,2590.0,,,2872.0,624.3478260869566,552.0,long,high,Low,0.00012723790594652297,138.0,Inventory position currently adequate relative to projected demand and replenishment window.
401,2026-03-08,1715-16EW,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,1425,1000,1001,500,1.5,0.0,120.0,1.0,10.0,17.333333333333332,28.290163190291665,52.0,high,1172.0,35378.0,,,35631.0,2055.6346153846157,2080.0,long,high,Low,1.3755923380607893e-14,520.0,Inventory position currently adequate relative to projected demand and replenishment window.
505,2026-03-08,SK-1,Sharpening Kit,med,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",13582,250,304,500,0.02,0.0,120.0,1.0,10.0,6.338028169014085,18.63939274146622,450.0,high,9.0,97778.0,,,111351.0,17568.713333333333,760.5633802816902,long,high,Low,0.0,190.14084507042256,Inventory position currently adequate relative to projected demand and replenishment window.
606,2026-03-08,BL84040,Battery,high,2053,Zhejiang Top Power Technology,402,1000,1000,500,0.25,0.0,120.0,1.0,10.0,1.0335195530726258,0.1804937466868521,185.0,low,5.0,5738.0,,,6135.0,5936.027027027027,124.02234636871509,long,high,Low,2.211382043625015e-105,31.005586592178773,Inventory position currently adequate relative to projected demand and replenishment window.
618,2026-03-08,CHL80040,Battery Charger,high,2053,Zhejiang Top Power Technology,0,1000,1000,500,0.15,0.0,120.0,1.0,10.0,1.0192307692307692,0.13867504905630726,53.0,low,0.0,350.0,,,350.0,343.39622641509436,122.30769230769229,long,high,Low,0.0005371361589764555,30.576923076923073,Inventory position currently adequate relative to projected demand and replenishment window.
