item_id,current_on_hand,safety_stock,reorder_point,last_updated
81,46082,1000,1046,03/01/2026 00:00:00
183,870,1000,1001,03/01/2026 00:00:00
186,629,1000,1001,03/01/2026 00:00:00
306,728,1000,1001,03/01/2026 00:00:00
337,11,1000,1000,03/01/2026 00:00:00
349,0,1000,1000,03/01/2026 00:00:00
350,4851,1000,1005,03/01/2026 00:00:00
352,4173,1000,1004,03/01/2026 00:00:00
354,1347,1000,1001,03/01/2026 00:00:00
355,415,1000,1000,03/01/2026 00:00:00
357,1230,1000,1001,03/01/2026 00:00:00
358,113,1000,1000,03/01/2026 00:00:00
361,1829,1000,1002,03/01/2026 00:00:00
363,0,1000,1000,03/01/2026 00:00:00
364,442,1000,1000,03/01/2026 00:00:00
366,430,1000,1000,03/01/2026 00:00:00
367,287,1000,1000,03/01/2026 00:00:00
369,0,1000,1000,03/01/2026 00:00:00
371,274,1000,1000,03/01/2026 00:00:00
372,0,500,500,03/01/2026 00:00:00
373,6191,1000,1006,03/01/2026 00:00:00
389,1116,1000,1001,03/01/2026 00:00:00
392,182,1000,1000,03/01/2026 00:00:00
393,0,1000,1000,03/01/2026 00:00:00
396,0,1000,1000,03/01/2026 00:00:00
400,364,250,251,03/01/2026 00:00:00
401,1425,1000,1001,03/01/2026 00:00:00
505,13582,250,304,03/01/2026 00:00:00
606,402,1000,1000,03/01/2026 00:00:00
618,0,1000,1000,03/01/2026 00:00:00
627,168,1000,1000,03/01/2026 00:00:00
671,127,1000,1000,03/01/2026 00:00:00
673,20,1000,1000,03/01/2026 00:00:00
678,3,250,250,03/01/2026 00:00:00
689,6084,1000,1006,03/01/2026 00:00:00
699,0,1000,1000,03/01/2026 00:00:00
704,0,500,500,03/01/2026 00:00:00
713,8,1000,1000,03/01/2026 00:00:00
715,0,500,500,03/01/2026 00:00:00
765,6,1000,1000,03/01/2026 00:00:00
1114,2,1000,1000,03/01/2026 00:00:00
1142,993,1000,1001,03/01/2026 00:00:00
1147,72,1000,1000,03/01/2026 00:00:00
1159,3725,500,507,03/01/2026 00:00:00
1325,0,250,250,03/01/2026 00:00:00
1985,51,1000,1000,03/01/2026 00:00:00
2010,0,1000,1000,03/01/2026 00:00:00
2080,36,250,250,03/01/2026 00:00:00
2194,0,500,500,03/01/2026 00:00:00
2195,4062,250,266,03/01/2026 00:00:00
2290,7,1000,1000,03/01/2026 00:00:00
2291,0,1000,1000,03/01/2026 00:00:00
2292,24,1000,1000,03/01/2026 00:00:00
2355,0,500,500,03/01/2026 00:00:00
2383,0,500,500,03/01/2026 00:00:00
2390,14,500,500,03/01/2026 00:00:00
2392,35,1000,1000,03/01/2026 00:00:00
2393,0,500,500,03/01/2026 00:00:00
2631,1628,1000,1002,03/01/2026 00:00:00
2632,1949,1000,1002,03/01/2026 00:00:00
2685,130,250,251,03/01/2026 00:00:00
2693,29,1000,1000,03/01/2026 00:00:00
2696,20,1000,1000,03/01/2026 00:00:00
2704,51,1000,1000,03/01/2026 00:00:00
2726,7,1000,1000,03/01/2026 00:00:00
2728,39,1000,1000,03/01/2026 00:00:00
2732,444,1000,1000,03/01/2026 00:00:00
2734,81,1000,1000,03/01/2026 00:00:00
2745,0,250,250,03/01/2026 00:00:00
2756,15,1000,1000,03/01/2026 00:00:00
2766,11,1000,1000,03/01/2026 00:00:00
2767,7,1000,1000,03/01/2026 00:00:00
2795,2,1000,1000,03/01/2026 00:00:00
2807,10,1000,1000,03/01/2026 00:00:00
2808,0,1000,1000,03/01/2026 00:00:00
2815,31,1000,1000,03/01/2026 00:00:00
2826,8,1000,1000,03/01/2026 00:00:00
2848,9,1000,1000,03/01/2026 00:00:00
2927,56,1000,1000,03/01/2026 00:00:00
2928,22,1000,1000,03/01/2026 00:00:00
2937,0,1000,1000,03/01/2026 00:00:00
2938,53,1000,1000,03/01/2026 00:00:00
2939,38,1000,1000,03/01/2026 00:00:00
2941,0,250,250,03/01/2026 00:00:00
2942,23,1000,1000,03/01/2026 00:00:00
2944,0,1000,1000,03/01/2026 00:00:00
2945,58,1000,1000,03/01/2026 00:00:00
2954,23,1000,1000,03/01/2026 00:00:00
2965,5,1000,1000,03/01/2026 00:00:00
2972,16,1000,1000,03/01/2026 00:00:00
2983,0,250,250,03/01/2026 00:00:00
2985,164,1000,1000,03/01/2026 00:00:00
2414,15858,500,532,03/01/2026 00:00:00
2998,93,1000,1000,03/01/2026 00:00:00
3011,1448,1000,1001,03/01/2026 00:00:00
3014,9,1000,1000,03/01/2026 00:00:00
3039,0,1000,1000,03/01/2026 00:00:00
3041,47,1000,1000,03/01/2026 00:00:00
3045,0,1000,1000,03/01/2026 00:00:00
3072,559,1000,1001,03/01/2026 00:00:00
3073,180,1000,1000,03/01/2026 00:00:00
3074,208,1000,1000,03/01/2026 00:00:00
3088,45,1000,1000,03/01/2026 00:00:00
3094,162,1000,1000,03/01/2026 00:00:00
3108,1958,1000,1002,03/01/2026 00:00:00
3112,0,1000,1000,03/01/2026 00:00:00
3154,0,250,250,03/01/2026 00:00:00
3186,7,1000,1000,03/01/2026 00:00:00
3247,0,250,250,03/01/2026 00:00:00
3248,2,1000,1000,03/01/2026 00:00:00
3249,6,1000,1000,03/01/2026 00:00:00
3331,218,1000,1000,03/01/2026 00:00:00
3336,14,1000,1000,03/01/2026 00:00:00
3337,1,1000,1000,03/01/2026 00:00:00
3338,0,1000,1000,03/01/2026 00:00:00
3339,19,1000,1000,03/01/2026 00:00:00
3432,71,250,250,03/01/2026 00:00:00
3434,0,250,250,03/01/2026 00:00:00
3441,3434,1000,1003,03/01/2026 00:00:00
3510,0,1000,1000,03/01/2026 00:00:00
3517,10,250,250,03/01/2026 00:00:00
5127,0,1000,1000,03/01/2026 00:00:00
5309,433,1000,1000,03/01/2026 00:00:00
5310,42,1000,1000,03/01/2026 00:00:00
5311,2690,1000,1003,03/01/2026 00:00:00
5312,494,1000,1000,03/01/2026 00:00:00
5313,403,250,252,03/01/2026 00:00:00
5314,4,1000,1000,03/01/2026 00:00:00
5317,7,1000,1000,03/01/2026 00:00:00
5319,0,250,250,03/01/2026 00:00:00
5322,0,500,500,03/01/2026 00:00:00
