item_id,item_name,category,criticality_level,holding_cost,stockout_penalty,moq,supplier_id
81,415-16S,Reel Mower,high,1.5,20,500,1039
183,1304-14,Reel Mower,high,1.5,25,500,1039
186,1815-18,Reel Mower,high,1.5,22,500,1039
306,GS70015,Chipper Shredder,high,1.75,8,500,4231
337,SN70016,Snow Thrower,high,1.62,8,500,1977
349,204-14,Reel Mower,high,1.5,8,500,1039
350,1204-14,Reel Mower,high,1.5,8,500,1039
352,304-14S,Reel Mower,high,1.5,8,500,1039
354,815-18,Reel Mower,high,1.5,8,500,1039
355,815-18S,Reel Mower,high,1.5,10,500,1039
357,415-16,Reel Mower,high,1.5,15,500,1039
358,1415-16,Reel Mower,high,1.5,30,500,1039
361,2000-20S,Reel Mower,high,1.5,0,500,1039
363,1304-14LV,Reel Mower,high,1.5,0,500,1039
364,1314-14EW,Reel Mower,high,1.5,0,500,1039
366,1816-16EW,Reel Mower,high,1.5,0,500,1039
367,1816-18EW,Reel Mower,high,1.5,0,500,1039
369,2000-20LV,Reel Mower,high,1.5,0,500,1039
371,2001-20EW,Reel Mower,high,1.5,0,500,1039
372,2002-20EW,Reel Mower,low,1.5,0,500,1039
373,2010-20SG,Reel Mower,high,1.5,0,500,1039
389,CVPS43010,Pole Saw,high,1.12,0,500,44830
392,SN74016,Snow Thrower,high,1.62,0,500,1977
393,SN74018,Snow Thrower,high,1.62,0,500,1977
396,TC70016,Tiller/Cultivator,high,1.75,0,500,4279
400,415-16SK,Reel Mower,med,1.5,0,500,1039
401,1715-16EW,Reel Mower,high,1.5,0,500,1039
505,SK-1,Sharpening Kit,med,0.02,0,500,2061
606,BL84040,Battery,high,0.25,0,500,2053
618,CHL80040,Battery Charger,high,0.15,0,500,2053
627,ED7-12,Part,high,0.02,0,1000,1913
671,RLSS10163-1,Kit,high,0.5,0,1000,2061
673,RLSS10163-2,Kit,high,0.5,0,1000,2061
678,RP17205,Part,med,0.02,0,1000,1913
689,RS90109,String Trimmer Spool,high,0.05,0,500,2065
699,RTC00020,Part,high,0.02,0,1000,1913
704,RTC70040-1,Part,low,0.02,0,1000,1913
713,RTC70040-3,Part,high,0.02,0,1000,1913
715,RTC70040-31A,Part,low,0.02,0,1000,1913
765,R8102-629901,Part,high,0.02,0,1000,1913
1114,SN71018,Snow Thrower,high,1.62,0,500,1977
1142,CVP41810,Pole Saw/Hedge Trimmer,high,0.75,0,500,44830
1147,R8020-740206,Part,high,0.02,0,1000,1913
1159,31035,Sharpening Compound,low,0.5,0,500,3514
1325,CHL90040,Battery Charger,med,0.15,0,500,2053
1985,HD-PD,Misc.,high,0.02,0,500,3514
2010,1815-18LV,Reel Mower,high,1.5,0,500,1039
2080,RTC00043,Part,med,0.02,0,1000,1913
2194,1819-18EW,Reel Mower,low,1.5,0,500,1039
2195,TC70025,Tiller/Cultivator,med,1.75,0,500,4279
2290,SN18-SBK-1,Kit,high,0.5,0,1000,2061
2291,SN18-AK-1,Kit,high,0.5,0,1000,2061
2292,SN4018-BELT,Kit,high,0.5,0,1000,2061
2355,SK-NC,Part,low,0.02,0,1000,1913
2383,RTC70010-16-2,Part,low,0.02,0,1000,1913
2390,RTC700SET,Part,low,0.02,0,1000,1913
2392,RTC70016SET,Kit,high,0.5,0,1000,2061
2393,RTC70025-1,Part,low,0.02,0,1000,1913
2631,LSW70021,Lawn Sweeper,high,1.5,0,500,1039
2632,LSW70026S,Lawn Sweeper,high,1.5,0,500,1039
2685,LS21-HK-2,Kit,med,0.5,0,1000,2061
2693,LS21-HBK-2,Kit,high,0.5,0,1000,2061
2696,LS26-BK-1,Kit,high,0.5,0,1000,2061
2704,RM16-HK-1,Kit,high,0.5,0,1000,2061
2726,RM-WK8.5-1,Kit,high,0.5,0,1000,2061
2728,RM-WK10A-1,Kit,high,0.5,0,1000,2061
2732,RM-GPK-1,Kit,high,0.5,0,1000,2061
2734,RM-APK-1,Kit,high,0.5,0,1000,2061
2745,BVM22-VTK-1,Kit,med,0.5,0,1000,2061
2756,CVPH43-PCK,Kit,high,0.5,0,1000,2061
2766,CS33/120-SCK,Kit,high,0.5,0,1000,2061
2767,CS33/120-CWK,Kit,high,0.5,0,1000,2061
2795,RTC70040-U,Kit,high,0.5,0,1000,2061
2807,RTC01/85-HDW,Kit,high,0.5,0,1000,2061
2808,RTC10/16-HDW,Kit,high,0.5,0,1000,2061
2815,CVPS41-OTC,Kit,high,0.5,0,1000,2061
2826,CVPS43-SCK,Kit,high,0.5,0,1000,2061
