Internal ID,po_id,item_id,qty_ordered,order_date,expected_date,status,supplier_id
21425,15500,668,10,06/14/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1424
21425,15500,1672,20,06/14/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1424
21426,15502,775,1500,06/15/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21426,15502,619,25,06/15/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21426,15502,776,30,06/15/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21426,15502,623,325,06/15/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21426,15502,1020,25,06/15/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21426,15502,1022,90,06/15/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21427,15519,629,5,06/22/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1362
21479,15540L,352,5040,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21480,15541L,352,1680,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21480,15541L,373,1666,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21481,15542A,1897,4,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21481,15542A,373,833,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21482,15543L,1897,16,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21482,15543L,373,3332,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21483,15544A,1903,24,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21483,15544A,81,3828,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1182
21484,15546L,81,2552,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1182
21484,15546L,1903,26,06/30/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1182
21485,15547L,1903,8,06/30/2016: 00:00:00,12/17/2016: 00:00:00,Fully Billed,1182
21485,15547L,81,1276,06/30/2016: 00:00:00,12/17/2016: 00:00:00,Fully Billed,1182
21485,15547L,1897,12,06/30/2016: 00:00:00,12/17/2016: 00:00:00,Fully Billed,1182
21485,15547L,373,2499,06/30/2016: 00:00:00,12/17/2016: 00:00:00,Fully Billed,1182
21429,15562,388,3300,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1335
21430,15563,502,840,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1357
21430,15563,379,896,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1357
21430,15563,380,1260,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1357
21430,15563,82,420,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1357
21431,15564,327,2446,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1357
21431,15564,301,600,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1357
21432,15565,391,1504,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,506,1728,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,390,1934,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,316,800,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,313,2443,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,494,300,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,309,1500,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,322,2164,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,317,300,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21432,15565,310,1000,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Closed,1357
21433,15566,396,1550,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1442
21433,15566,395,1550,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1442
21434,15567,306,912,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1424
21428,15561A,330,1800,07/26/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1116
27628,15561B,331,1310,07/26/2016: 00:00:00,10/30/2016: 00:00:00,Closed,1116
27628,15561B,334,500,07/26/2016: 00:00:00,10/30/2016: 00:00:00,Closed,1116
27628,15561B,330,657,07/26/2016: 00:00:00,10/30/2016: 00:00:00,Closed,1116
21486,15569L,186,1700,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1890,18,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,351,1500,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1900,16,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,183,1800,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1886,19,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,361,2499,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1894,12,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,358,300,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1888,3,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,184,1800,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1889,9,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,357,600,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1902,7,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,381,476,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,1908,5,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,401,700,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,2265,2,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
21486,15569L,504,1000,07/26/2016: 00:00:00,01/01/2017: 00:00:00,Closed,1182
43227,15579,317,300,08/09/2016: 00:00:00,11/04/2016: 00:00:00,Fully Billed,1357
21488,15574A,394,3875,08/09/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1442
21489,15575L,394,3875,08/09/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1442
21490,15576A,394,3875,08/09/2016: 00:00:00,10/28/2016: 00:00:00,Fully Billed,1442
