po_id ,item_id ,qty_ordered ,order_date ,expected_arrival ,status 
SO2733898,282,2,2/13/2024,12/31/9999,Pending Fulfillment
SO2733898,7974,234,2/13/2024,12/31/9999,Pending Fulfillment
SO2837540,282,2,12/17/2024,9/5/2025,Pending Fulfillment
SO2837540,5311,408,12/17/2024,9/5/2025,Pending Fulfillment
SO2844705,282,2,2/18/2025,12/31/9999,Pending Fulfillment
SO2844705,7731,462,2/18/2025,12/31/9999,Pending Fulfillment
SO2847156,282,2,3/7/2025,3/7/2025,Pending Fulfillment
SO2847156,8203,2,3/7/2025,3/7/2025,Pending Fulfillment
SO2911093,282,2,9/19/2025,1/23/2026,Pending Fulfillment
SO2911093,8213,835,9/19/2025,1/23/2026,Pending Fulfillment
SO2911098,282,2,9/19/2025,1/13/2026,Pending Fulfillment
SO2911098,8136,420,9/19/2025,1/13/2026,Pending Fulfillment
SO2914728,282,2,10/9/2025,3/6/2026,Pending Fulfillment
SO2914728,8255,"1,979",10/9/2025,3/6/2026,Pending Fulfillment
SO2914729,282,2,10/9/2025,3/4/2026,Pending Fulfillment
SO2914729,6713,833,10/9/2025,3/4/2026,Pending Fulfillment
SO2914730,282,2,10/9/2025,2/28/2026,Pending Fulfillment
SO2914730,8136,420,10/9/2025,2/28/2026,Pending Fulfillment
SO2914731,282,2,10/9/2025,3/6/2026,Pending Fulfillment
SO2914731,6358,"4,572",10/9/2025,3/6/2026,Pending Fulfillment
SO2914731,8136,420,10/9/2025,3/6/2026,Pending Fulfillment
SO2914780,282,2,10/9/2025,2/15/2026,Pending Fulfillment
SO2914780,8213,835,10/9/2025,2/15/2026,Pending Fulfillment
SO2914781,282,2,10/9/2025,3/14/2026,Pending Fulfillment
SO2914781,8213,835,10/9/2025,3/14/2026,Pending Fulfillment
SO2914782,282,2,10/9/2025,3/7/2026,Pending Fulfillment
SO2914782,8213,835,10/9/2025,3/7/2026,Pending Fulfillment
SO2914783,282,2,10/9/2025,2/28/2026,Pending Fulfillment
SO2914783,8213,835,10/9/2025,2/28/2026,Pending Fulfillment
SO2915866,282,2,10/15/2025,4/29/2026,Pending Fulfillment
SO2915866,5569,204,10/15/2025,4/29/2026,Pending Fulfillment
